molecule_cheml_id,bioactivity_class,pIC50
CHEMBL28290,active,6.619788758288394
CHEMBL27467,active,7.886056647693163
CHEMBL27467,active,7.154901959985743
CHEMBL27698,active,6.954677021213342
CHEMBL27767,inactive,3.109578981199086
CHEMBL29482,active,8.455931955649724
CHEMBL311077,inactive,4.42021640338319
CHEMBL424162,active,6.0
CHEMBL349514,active,6.0
CHEMBL2112309,inactive,4.585026652029182
CHEMBL349704,active,7.920818753952375
CHEMBL165279,active,6.0
CHEMBL443530,inactive,4.356547323513812
CHEMBL352891,active,6.0
CHEMBL81255,inactive,4.0
CHEMBL31760,active,9.154901959985745
CHEMBL349919,inactive,5.0
CHEMBL349963,active,6.3979400086720375
CHEMBL353571,active,6.2441251443275085
CHEMBL164746,inactive,5.0
CHEMBL1629805,active,6.568636235841013
CHEMBL166017,inactive,5.0
CHEMBL164821,active,6.0
CHEMBL164993,active,7.376750709602099
CHEMBL165925,inactive,5.0
CHEMBL165218,active,6.060480747381382
CHEMBL350713,active,6.481486060122113
CHEMBL31456,active,8.113509274827518
CHEMBL31215,active,8.494850021680094
CHEMBL350074,active,7.657577319177793
CHEMBL166032,active,6.0
CHEMBL164543,active,7.301029995663981
CHEMBL82981,inactive,4.207608310501746
CHEMBL165552,active,6.0
CHEMBL1629804,active,6.275724130399211
CHEMBL285809,active,6.632644078973981
CHEMBL351850,active,6.0
CHEMBL166148,active,6.0
CHEMBL287677,active,6.167491087293763
CHEMBL31224,active,8.537602002101044
CHEMBL351526,active,6.568636235841013
CHEMBL351226,active,6.0
CHEMBL349851,active,6.0
CHEMBL132530,active,6.3872161432802645
CHEMBL166060,inactive,5.0
CHEMBL165106,active,7.301029995663981
CHEMBL423096,active,6.0
CHEMBL424185,inactive,5.0
CHEMBL166079,active,6.0
CHEMBL93828,active,6.6777807052660805
CHEMBL419131,inactive,4.886056647693163
CHEMBL488,inactive,4.431798275933005
CHEMBL488,inactive,4.431798275933005
CHEMBL93828,active,6.769551078621726
CHEMBL93828,active,6.698970004336019
CHEMBL92488,active,6.161150909262744
CHEMBL1629804,active,10.221848749616356
CHEMBL307006,active,7.301029995663981
CHEMBL73367,active,8.795880017344075
CHEMBL305630,active,8.045757490560675
CHEMBL70317,active,9.356547323513812
CHEMBL307690,active,9.494850021680094
CHEMBL73279,active,9.443697499232712
CHEMBL69891,active,7.853871964321762
CHEMBL72056,active,7.301029995663981
CHEMBL307643,active,9.721246399047171
CHEMBL310735,active,10.431798275933003
CHEMBL73368,active,7.301029995663981
CHEMBL308537,active,9.886056647693165
CHEMBL307581,active,9.920818753952377
CHEMBL70959,active,8.431798275933005
CHEMBL305205,active,10.309803919971486
CHEMBL73071,active,7.366531544420414
CHEMBL72415,active,7.920818753952375
CHEMBL74295,active,7.301029995663981
CHEMBL70436,active,9.958607314841776
CHEMBL72538,active,7.301029995663981
CHEMBL306022,active,8.481486060122112
CHEMBL72228,active,9.795880017344077
CHEMBL73993,active,10.30102999566398
CHEMBL304770,active,9.585026652029182
CHEMBL73219,active,7.301029995663981
CHEMBL74339,active,8.886056647693163
CHEMBL304305,active,9.638272163982409
CHEMBL430879,active,7.0
CHEMBL325346,active,7.4089353929735005
CHEMBL488,active,6.6020599913279625
CHEMBL322322,active,8.638272163982407
CHEMBL108483,active,9.086186147616283
CHEMBL108425,active,9.30102999566398
CHEMBL317581,active,7.522878745280337
CHEMBL108646,active,7.920818753952375
CHEMBL134748,inactive,4.698970004336019
CHEMBL134442,active,6.356547323513812
CHEMBL3084923,inactive,4.3979400086720375
CHEMBL134169,inactive,4.455931955649724
CHEMBL132072,active,6.920818753952375
CHEMBL337251,inactive,4.522878745280337
CHEMBL3084924,inactive,4.966576244513051
CHEMBL132380,inactive,4.259637310505756
CHEMBL444068,inactive,4.094204119632131
CHEMBL488,inactive,4.732828271596986
CHEMBL63297,active,6.721246399047171
CHEMBL416616,active,7.207608310501746
CHEMBL294361,active,7.522878745280337
CHEMBL65328,active,6.229147988357855
CHEMBL294361,inactive,5.0
CHEMBL41761,active,7.387216143280264
CHEMBL304222,active,6.481486060122113
CHEMBL39423,active,6.698970004336019
CHEMBL488,inactive,4.732828271596986
CHEMBL288695,active,6.958607314841775
CHEMBL291646,active,6.698970004336019
CHEMBL287950,active,7.045757490560675
CHEMBL39403,active,7.211124884224583
CHEMBL488,inactive,4.732828271596986
CHEMBL285193,active,7.154901959985743
CHEMBL67842,active,7.161150909262744
CHEMBL304788,active,6.055517327849832
CHEMBL287967,active,6.769551078621726
CHEMBL304583,active,7.180456064458132
CHEMBL294361,active,7.214670164989233
CHEMBL66867,active,6.431798275933005
CHEMBL289945,active,7.259637310505756
CHEMBL288804,active,7.200659450546418
CHEMBL419619,active,6.036212172654444
CHEMBL65549,inactive,4.283829652140146
CHEMBL304903,active,6.732828271596986
CHEMBL422610,active,6.022276394711152
CHEMBL131414,active,6.096910013008056
CHEMBL129883,active,6.309803919971486
CHEMBL132530,active,6.431798275933005
CHEMBL336383,active,6.181774106386045
CHEMBL133240,active,6.465973893943865
CHEMBL132563,active,6.627087997029894
CHEMBL130546,active,6.610833915635467
CHEMBL176452,active,6.0
CHEMBL176452,active,6.154901959985743
CHEMBL174308,active,6.698970004336019
CHEMBL174407,active,6.698970004336019
CHEMBL174407,active,6.221848749616356
CHEMBL368631,active,6.356547323513812
CHEMBL368631,active,6.698970004336019
CHEMBL26651,active,6.853871964321762
CHEMBL26651,active,7.070581074285707
CHEMBL287574,inactive,4.958607314841775
CHEMBL174909,active,6.823908740944319
CHEMBL174909,active,7.397940008672037
CHEMBL488,inactive,4.853871964321762
CHEMBL368732,inactive,4.853871964321762
CHEMBL268918,active,7.221848749616356
CHEMBL268209,active,6.6020599913279625
CHEMBL8333,active,6.568636235841013
CHEMBL266532,active,6.552841968657781
CHEMBL1078534,active,6.522878745280337
CHEMBL267668,active,6.853871964321762
CHEMBL8254,active,7.221848749616356
CHEMBL8417,active,6.7447274948966935
CHEMBL1078534,active,6.275724130399211
CHEMBL8315,active,6.2839966563652006
CHEMBL274878,active,6.2076083105017466
CHEMBL8646,active,6.698970004336019
CHEMBL8498,active,6.6020599913279625
CHEMBL8313,active,7.267606240177032
CHEMBL440832,active,7.267606240177032
CHEMBL266350,active,7.119186407719209
CHEMBL2112301,inactive,4.698970004336019
CHEMBL283782,inactive,4.853871964321762
CHEMBL288093,inactive,4.638272163982407
CHEMBL23485,active,6.0
CHEMBL23646,active,6.619788758288394
CHEMBL279940,active,6.1249387366083
CHEMBL23484,inactive,4.769551078621726
CHEMBL23364,active,6.275724130399211
CHEMBL84230,inactive,4.301029995663981
CHEMBL23148,active,6.229147988357855
CHEMBL2112299,inactive,4.698970004336019
CHEMBL284934,inactive,4.657577319177793
CHEMBL26065,inactive,4.721246399047171
CHEMBL23097,active,6.638272163982407
CHEMBL254328,inactive,4.698970004336019
CHEMBL23150,inactive,4.6020599913279625
CHEMBL301106,active,6.455931955649724
CHEMBL159073,active,7.397940008672037
CHEMBL163420,active,7.031984286006358
CHEMBL9298,active,7.4089353929735005
CHEMBL488,inactive,4.732828271596986
CHEMBL55144,active,6.036212172654444
CHEMBL291700,active,6.356547323513812
CHEMBL349822,active,7.823908740944319
CHEMBL421149,active,7.366531544420414
CHEMBL293122,active,6.301029995663981
CHEMBL41517,active,6.096910013008056
CHEMBL57513,active,6.167491087293763
CHEMBL301608,inactive,3.9546770212133424
CHEMBL350922,active,6.4089353929735005
CHEMBL1203766,active,8.119186407719209
CHEMBL54803,active,6.455931955649724
CHEMBL307160,active,6.013228265733755
CHEMBL53644,active,6.154901959985743
CHEMBL163413,active,6.0
CHEMBL1203760,active,7.67778070526608
CHEMBL442542,active,6.0655015487564325
CHEMBL158635,active,6.259637310505756
CHEMBL162496,active,7.823908740944319
CHEMBL292899,active,6.42021640338319
CHEMBL355905,active,6.0655015487564325
CHEMBL1203757,active,7.75448733218585
CHEMBL468419,active,8.193820026016112
CHEMBL468419,active,10.522878745280336
CHEMBL53290,active,6.657577319177793
CHEMBL40432,active,6.026872146400302
CHEMBL78322,active,6.026872146400302
CHEMBL291279,inactive,5.0
CHEMBL161230,active,6.619788758288394
CHEMBL9298,active,7.2839966563652
CHEMBL1203762,active,8.698970004336019
CHEMBL132530,active,6.431798275933005
CHEMBL421829,active,7.050609993355087
CHEMBL300109,active,6.795880017344075
CHEMBL162834,active,7.85078088734462
CHEMBL488,inactive,4.522878745280337
CHEMBL288190,active,6.455931955649724
CHEMBL53068,active,6.769551078621726
CHEMBL158984,active,7.0
CHEMBL348913,active,7.844663962534938
CHEMBL9298,active,8.337242168318426
CHEMBL2051951,inactive,4.721246399047171
CHEMBL124230,inactive,4.638272163982407
CHEMBL9298,active,6.698970004336019
CHEMBL357775,inactive,4.779891911959945
CHEMBL357775,inactive,4.998266287190999
CHEMBL338746,inactive,4.585026652029182
CHEMBL9165,active,6.698970004336019
CHEMBL9179,active,6.096910013008056
CHEMBL95109,active,7.040958607678906
CHEMBL124118,inactive,4.031517051446065
CHEMBL269761,inactive,3.6989700043360183
CHEMBL330452,inactive,4.200659450546418
CHEMBL1394757,inactive,3.431798275933005
CHEMBL151212,inactive,4.8696662315049934
CHEMBL488,inactive,4.431798275933005
CHEMBL151691,inactive,4.805208242278075
CHEMBL151691,inactive,4.998266287190999
CHEMBL70901,active,6.522878745280337
CHEMBL70901,active,6.823908740944319
CHEMBL149238,inactive,4.903089986991944
CHEMBL149238,inactive,4.998266287190999
CHEMBL148903,inactive,4.698970004336019
CHEMBL148903,inactive,4.991399828238082
CHEMBL95919,active,7.387216143280264
CHEMBL112908,inactive,4.698970004336019
CHEMBL112292,inactive,4.795880017344075
CHEMBL157101,inactive,4.795880017344075
CHEMBL317935,inactive,4.886056647693163
CHEMBL113242,active,6.236572006437063
CHEMBL325461,inactive,4.443697499232712
CHEMBL431843,inactive,4.292429823902063
CHEMBL323546,inactive,4.856985199745905
CHEMBL89046,inactive,3.6108339156354674
CHEMBL24021,active,6.585026652029182
CHEMBL105298,active,6.619788758288394
CHEMBL24410,active,6.494850021680094
CHEMBL314351,inactive,4.508638306165727
CHEMBL274826,active,6.522878745280337
CHEMBL1629804,active,6.958607314841775
CHEMBL104047,active,7.050609993355087
CHEMBL312960,inactive,4.6777807052660805
CHEMBL302741,inactive,4.251811972993799
CHEMBL102536,active,7.013228265733755
CHEMBL334391,active,6.275724130399211
CHEMBL2311169,active,6.180456064458132
CHEMBL71117,inactive,4.7447274948966935
CHEMBL308829,inactive,4.207608310501746
CHEMBL330452,inactive,5.0
CHEMBL488,inactive,4.522878745280337
CHEMBL39661,active,6.096910013008056
CHEMBL24946,active,6.102372908709558
CHEMBL321729,active,6.823908740944319
CHEMBL105298,active,6.508638306165727
CHEMBL314991,inactive,4.522878745280337
CHEMBL302249,inactive,4.376750709602099
CHEMBL25695,active,6.4089353929735005
CHEMBL336387,active,6.721246399047171
CHEMBL102884,active,6.508638306165727
CHEMBL71152,active,6.468521082957745
CHEMBL103685,inactive,4.886056647693163
CHEMBL71612,inactive,4.481486060122113
CHEMBL102409,active,6.522878745280337
CHEMBL302530,inactive,4.221848749616356
CHEMBL103040,active,6.060480747381382
CHEMBL282673,active,6.619788758288394
CHEMBL24037,active,6.292429823902063
CHEMBL25588,active,6.455931955649724
CHEMBL71363,inactive,4.259637310505756
CHEMBL88412,active,6.481486060122113
CHEMBL71169,inactive,4.221848749616356
CHEMBL311400,inactive,4.376750709602099
CHEMBL25059,active,6.853871964321762
CHEMBL101743,active,6.920818753952375
CHEMBL319026,active,7.017728766960431
CHEMBL319026,active,6.920818753952375
CHEMBL421491,inactive,3.853871964321762
CHEMBL71082,inactive,4.552841968657781
CHEMBL323585,inactive,4.928117992693875
CHEMBL90856,inactive,5.0
CHEMBL102536,active,6.537602002101044
CHEMBL68674,inactive,4.522878745280337
CHEMBL284238,active,6.142667503568732
CHEMBL3245349,active,6.187086643357144
CHEMBL328546,inactive,4.3979400086720375
CHEMBL88918,active,6.096910013008056
CHEMBL102510,inactive,4.698970004336019
CHEMBL302305,inactive,4.958607314841775
CHEMBL25523,active,6.180456064458132
CHEMBL103040,active,6.468521082957745
CHEMBL327239,inactive,3.4145392704914994
CHEMBL157101,inactive,4.402304814074488
CHEMBL328863,inactive,4.416801226031377
CHEMBL157101,inactive,3.958607314841775
CHEMBL28880,inactive,3.5228787452803374
CHEMBL29521,active,6.221848749616356
CHEMBL488,inactive,4.431798275933005
CHEMBL282573,inactive,4.795880017344075
CHEMBL29138,inactive,3.869666231504994
CHEMBL29864,inactive,4.958607314841775
CHEMBL29230,active,6.3979400086720375
CHEMBL177468,active,6.019996628416254
CHEMBL178036,active,6.886056647693163
CHEMBL177413,active,6.013228265733755
CHEMBL177274,active,6.091514981121351
CHEMBL367483,active,6.903089986991944
CHEMBL177921,active,6.924453038607469
CHEMBL175091,active,7.823908740944319
CHEMBL175144,active,6.920818753952375
CHEMBL359817,active,6.661543506395395
CHEMBL362187,active,6.645891560852599
CHEMBL367719,active,6.721246399047171
CHEMBL179247,active,7.698970004336019
CHEMBL177692,active,6.481486060122113
CHEMBL175688,active,7.4089353929735005
CHEMBL177293,active,7.568636235841013
CHEMBL174579,active,7.0
CHEMBL9298,active,8.301029995663981
CHEMBL366669,active,6.008773924307505
CHEMBL177268,inactive,4.443697499232712
CHEMBL176009,inactive,4.898596649444669
CHEMBL176076,active,6.7447274948966935
CHEMBL176287,active,6.886056647693163
CHEMBL369623,active,6.638272163982407
CHEMBL9298,active,7.522878745280337
CHEMBL179149,inactive,4.895171596346344
CHEMBL360026,active,6.187086643357144
CHEMBL179144,active,6.096910013008056
CHEMBL366773,inactive,4.443697499232712
CHEMBL175979,active,6.096910013008056
CHEMBL184952,inactive,4.5003129173815966
CHEMBL187185,active,6.366531544420414
CHEMBL95109,active,7.045757490560675
CHEMBL95919,active,7.397940008672037
CHEMBL185966,inactive,4.0
CHEMBL361872,inactive,4.0
CHEMBL264724,inactive,4.0
CHEMBL189170,inactive,4.0
CHEMBL362906,inactive,4.0
CHEMBL188664,active,6.6777807052660805
CHEMBL186079,active,6.275724130399211
CHEMBL184749,active,6.214670164989233
CHEMBL185950,active,6.552841968657781
CHEMBL187068,active,6.657577319177793
CHEMBL131921,inactive,4.468521082957745
CHEMBL192306,active,6.113509274827518
CHEMBL192306,inactive,1.0
CHEMBL189472,inactive,1.0
CHEMBL363493,active,6.2839966563652006
CHEMBL363493,inactive,1.0
CHEMBL189274,inactive,1.0
CHEMBL190099,inactive,4.7447274948966935
CHEMBL190099,inactive,1.0
CHEMBL191488,inactive,4.301029995663981
CHEMBL190848,inactive,4.301029995663981
CHEMBL190208,inactive,4.301029995663981
CHEMBL488,inactive,1.0
CHEMBL131921,inactive,4.468521082957745
CHEMBL131921,inactive,1.0
CHEMBL365314,active,6.552841968657781
CHEMBL370281,active,6.113509274827518
CHEMBL193858,active,7.045757490560675
CHEMBL364956,active,6.102372908709558
CHEMBL195580,inactive,4.443697499232712
CHEMBL195653,inactive,4.443697499232712
CHEMBL370530,active,6.142667503568732
CHEMBL371509,inactive,4.443697499232712
CHEMBL371275,inactive,4.443697499232712
CHEMBL381194,active,7.0
CHEMBL362968,active,6.23210238398191
CHEMBL195571,inactive,4.443697499232712
CHEMBL193534,inactive,4.443697499232712
CHEMBL196796,inactive,4.443697499232712
CHEMBL381014,active,6.013228265733755
CHEMBL371430,inactive,4.443697499232712
CHEMBL194472,active,6.889410289700751
CHEMBL9298,active,7.522878745280337
CHEMBL194641,active,6.647817481888637
CHEMBL1629802,active,6.838631997765025
CHEMBL1630280,active,6.173925197299173
CHEMBL132530,active,7.376750709602099
CHEMBL1399,active,6.221848749616356
CHEMBL202231,active,7.221848749616356
CHEMBL202226,active,7.698970004336019
CHEMBL202065,active,6.886056647693163
CHEMBL201831,active,7.0
CHEMBL199334,active,6.221848749616356
CHEMBL197650,active,8.0
CHEMBL379019,active,6.886056647693163
CHEMBL382902,active,7.356547323513812
CHEMBL198291,active,7.309803919971486
CHEMBL382500,active,6.886056647693163
CHEMBL202020,active,6.795880017344075
CHEMBL202612,active,7.309803919971486
CHEMBL372999,active,7.356547323513812
CHEMBL7162,active,6.167491087293763
CHEMBL372835,inactive,4.6020599913279625
CHEMBL381883,inactive,4.6020599913279625
CHEMBL202469,active,6.040958607678906
CHEMBL202030,active,6.638272163982407
CHEMBL202474,active,6.522878745280337
CHEMBL202473,active,6.356547323513812
CHEMBL437497,active,6.060480747381382
CHEMBL204502,active,6.017728766960431
CHEMBL382482,active,6.119186407719209
CHEMBL204183,active,6.327902142064283
CHEMBL204039,active,8.045757490560675
CHEMBL382679,active,7.625251653989896
CHEMBL488,inactive,4.526513029935432
CHEMBL204483,active,7.527243550682788
CHEMBL205177,active,7.714442690992226
CHEMBL41761,active,7.397940008672037
CHEMBL203981,active,7.580044251510242
CHEMBL204039,active,7.815308569182402
CHEMBL204039,active,7.346787486224656
CHEMBL205782,inactive,4.443697499232712
CHEMBL206351,active,6.089375595110798
CHEMBL206300,inactive,4.443697499232712
CHEMBL9298,active,7.522878745280337
CHEMBL157101,active,7.397940008672037
CHEMBL212473,active,7.100015437450609
CHEMBL212473,active,7.096910013008056
CHEMBL9298,active,7.2839966563652
CHEMBL209731,active,7.161150909262744
CHEMBL377766,active,6.356547323513812
CHEMBL213588,active,7.349984047528161
CHEMBL213588,active,7.346787486224656
CHEMBL213587,active,7.1487416512809245
CHEMBL212168,active,6.329995488683631
CHEMBL212168,active,6.327902142064283
CHEMBL158635,active,6.259637310505756
CHEMBL158635,active,6.260000690598032
CHEMBL213587,active,7.15002808767115
CHEMBL377766,active,6.359995853468939
CHEMBL209731,active,7.160019442321658
CHEMBL376473,inactive,4.548213564475709
CHEMBL222250,active,6.091514981121351
CHEMBL223368,active,6.481486060122113
CHEMBL376303,active,6.309803919971486
CHEMBL56367,inactive,4.568636235841013
CHEMBL157101,active,6.045757490560675
CHEMBL387518,inactive,4.574628833561059
CHEMBL223874,active,7.130768280269024
CHEMBL225472,active,6.552841968657781
CHEMBL225178,active,6.119186407719209
CHEMBL437731,active,7.292429823902063
CHEMBL375046,active,6.774690718274137
CHEMBL224228,active,6.841637507904751
CHEMBL224649,active,6.167491087293763
CHEMBL224787,active,6.97469413473523
CHEMBL225499,active,6.823908740944319
CHEMBL387518,inactive,4.569999968362492
CHEMBL223874,active,7.130005999878258
CHEMBL225472,active,6.549997369826814
CHEMBL225178,active,6.119998611678231
CHEMBL375497,inactive,4.0
CHEMBL437731,active,7.289967300934246
CHEMBL375046,active,6.770011163455189
CHEMBL224228,active,6.840011949618013
CHEMBL224649,active,6.170001911302621
CHEMBL223929,inactive,4.499999953328896
CHEMBL390152,inactive,4.499999953328896
CHEMBL223983,inactive,4.499999953328896
CHEMBL224787,active,6.970007824622153
CHEMBL225499,active,6.819988880942282
CHEMBL390569,inactive,4.769551078621726
CHEMBL31215,active,7.770062314092066
CHEMBL224665,active,8.638272163982407
CHEMBL224665,active,8.639974910810603
CHEMBL31215,active,7.769551078621726
CHEMBL26065,inactive,4.659999925349902
CHEMBL451201,active,6.200659450546418
CHEMBL451201,active,6.199998172182031
CHEMBL225079,active,6.958607314841775
CHEMBL225079,active,6.959991363986458
CHEMBL376786,active,6.537602002101044
CHEMBL376786,active,6.540004743952609
CHEMBL522917,active,7.309803919971486
CHEMBL522917,active,7.309981219211305
CHEMBL525379,active,7.017728766960431
CHEMBL525379,active,7.019996628416254
CHEMBL288093,inactive,4.639999934172963
CHEMBL23150,inactive,4.600000074606178
CHEMBL376039,inactive,5.0
CHEMBL388959,inactive,4.920000156997057
CHEMBL92488,active,6.160000609491408
CHEMBL419131,inactive,4.889999848866887
CHEMBL225378,active,6.060001790087838
CHEMBL225360,active,6.83000246293343
CHEMBL388515,active,7.019996628416254
CHEMBL225550,active,7.209996479609511
CHEMBL224462,active,7.029978734171634
CHEMBL388187,active,7.360015751958412
CHEMBL223555,active,7.019996628416254
CHEMBL223554,active,7.230032198670558
CHEMBL223452,active,6.540004743952609
CHEMBL224790,active,8.240030142445693
CHEMBL224789,active,7.2400301424456925
CHEMBL1444,active,7.280006173632396
CHEMBL225053,active,7.430041181903406
CHEMBL225128,active,7.019996628416254
CHEMBL13784,active,7.550059011226662
CHEMBL223176,active,7.320027305722581
CHEMBL211207,active,6.470005326930858
CHEMBL374934,active,7.320027305722581
CHEMBL224391,active,7.739928612014925
CHEMBL375043,active,7.96018944585165
CHEMBL31456,active,7.419987887470576
CHEMBL29482,active,7.739928612014925
CHEMBL285809,active,6.060001790087838
CHEMBL31224,active,7.809948582240794
CHEMBL31760,active,8.379968104873702
CHEMBL350922,active,6.409994580348671
CHEMBL78322,active,6.030002001401658
CHEMBL307160,active,6.009998764965339
CHEMBL421829,active,7.0499760934766735
CHEMBL159073,active,7.400007822415902
CHEMBL421149,active,7.36997914888659
CHEMBL158635,active,6.260000690598032
CHEMBL158984,active,7.0
CHEMBL161230,active,6.620005959834258
CHEMBL225497,active,6.030002001401658
CHEMBL2096872,inactive,5.0
CHEMBL223717,active,7.519993057042849
CHEMBL519436,active,8.400007822415901
CHEMBL224060,active,8.849857838151442
CHEMBL389433,active,7.349984047528161
CHEMBL1399,active,7.819874124835946
CHEMBL229944,inactive,3.615467384505752
CHEMBL488,active,6.568636235841013
CHEMBL228985,inactive,4.542875373696592
CHEMBL390364,inactive,3.566390156676282
CHEMBL229907,inactive,3.4538276316830574
CHEMBL229905,inactive,3.5083582065224137
CHEMBL1162951,inactive,4.91721462968355
CHEMBL388375,inactive,3.508400209954132
CHEMBL229633,inactive,3.547064129798821
CHEMBL229841,inactive,3.5294425147827257
CHEMBL229790,inactive,4.599634726650061
CHEMBL390731,inactive,3.582528306796707
CHEMBL389925,inactive,4.081235968972001
CHEMBL229893,inactive,3.582528306796707
CHEMBL558103,inactive,4.387746093903563
CHEMBL229885,inactive,3.511026475273492
CHEMBL229945,inactive,4.855425792390384
CHEMBL229094,inactive,4.262250926108443
CHEMBL229861,inactive,4.0
CHEMBL108425,active,9.30102999566398
CHEMBL226999,active,9.397940008672036
CHEMBL388093,active,8.920818753952375
CHEMBL226947,active,9.30102999566398
CHEMBL226946,active,9.744727494896694
CHEMBL390079,active,9.221848749616356
CHEMBL390078,active,8.55284196865778
CHEMBL226945,active,7.920818753952375
CHEMBL226893,active,8.4089353929735
CHEMBL390077,active,9.036212172654444
CHEMBL226892,active,9.113509274827518
CHEMBL226891,active,6.798602875679548
CHEMBL226843,active,8.119186407719209
CHEMBL388507,active,9.292429823902063
CHEMBL226842,active,9.05551732784983
CHEMBL226841,active,7.619788758288394
CHEMBL226791,active,8.55284196865778
CHEMBL226790,active,9.481486060122112
CHEMBL388506,active,8.958607314841775
CHEMBL226789,active,8.602059991327963
CHEMBL226738,active,8.537602002101044
CHEMBL388291,active,7.638272163982407
CHEMBL390717,active,8.537602002101044
CHEMBL226737,active,7.568636235841013
CHEMBL226736,active,7.376750709602099
CHEMBL390496,active,8.823908740944319
CHEMBL244795,active,6.251811972993799
CHEMBL9298,active,7.2839966563652
CHEMBL242454,active,6.3979400086720375
CHEMBL243756,active,7.752026733638194
CHEMBL243755,active,7.586700235918748
CHEMBL388930,active,7.508638306165727
CHEMBL223176,active,6.598599459218456
CHEMBL243961,active,8.275724130399212
CHEMBL243960,active,6.585026652029182
CHEMBL397728,active,8.136677139879543
CHEMBL274318,inactive,4.552841968657781
CHEMBL256665,active,6.200659450546418
CHEMBL439241,active,6.214670164989233
CHEMBL7162,active,6.167491087293763
CHEMBL271794,active,6.920818753952375
CHEMBL409271,active,6.356547323513812
CHEMBL270915,active,6.161150909262744
CHEMBL271129,active,6.161150909262744
CHEMBL270917,active,6.6020599913279625
CHEMBL272456,inactive,4.778064400171995
CHEMBL272464,inactive,4.760200181552901
CHEMBL270488,inactive,4.6020599913279625
CHEMBL269877,inactive,4.6020599913279625
CHEMBL407092,inactive,4.6020599913279625
CHEMBL273049,inactive,4.6020599913279625
CHEMBL260098,inactive,4.6020599913279625
CHEMBL270301,inactive,4.6020599913279625
CHEMBL409448,inactive,4.6020599913279625
CHEMBL260955,inactive,4.6020599913279625
CHEMBL407953,inactive,4.6020599913279625
CHEMBL436515,active,6.2839966563652006
CHEMBL374651,active,6.638272163982407
CHEMBL373377,active,6.187086643357144
CHEMBL426541,active,6.070581074285707
CHEMBL220793,active,6.481486060122113
CHEMBL220774,active,6.537602002101044
CHEMBL373427,active,6.236572006437063
CHEMBL224037,active,6.327902142064283
CHEMBL223368,active,6.481486060122113
